연번	어휘		
1646	코미디		
1647	코트		
1648	코피		
1649	콘서트		
1650	콜라		
1651	콧물		
1652	콩		
1653	크기		
1654	크다		
1655	크리스마스		
1656	큰아버지		
1657	큰어머니		
1658	큰일나다		
1659	키		
1660	킬로그램		
1661	킬로미터		
1662	타다		
1663	탁구		
1664	탕수육		
1665	태국		
1666	태권도		
1667	태어나다		
1668	태풍		
1669	택배		
1670	택시		
1671	탤런트		
1672	터미널		
1673	테니스		
1674	테이블		
1675	텔레비전		
1676	토끼		
1677	토마토		
1678	토요일		
1679	통일		
1680	통장		
1681	통화		
1682	통화하다		
1683	퇴근		
1684	퇴근하다		
1685	퇴원하다		
1686	특별하다		
1687	특별히		
1688	특징		
1689	튼튼하다		
1690	틀다		
1691	틀리다		
1692	티셔츠		
1693	팀		
1694	파		
1695	파란색		
1696	파랗다		
1697	파티		
1698	팔(신체)		
1699	팔다		
1700	패션		
1701	펴다		
1702	편지		
1703	편하다		
1704	평일		
1705	포도		
1706	포장		
1707	표		
1708	표현		
1709	푹		
1710	풀01		
1711	프로그램		
1712	피곤하다		
1713	피다		
1714	피아노		
1715	피우다		
1716	피자		
1717	필요하다		
1718	필통		
1719	하늘		
1720	하늘색		
1721	하다		
1722	하루		
1723	하숙		
1724	하숙집		
1725	하얗다		
1726	하지만		
1727	학교		
1728	학기		
1729	학년		
1730	학생		
1731	학생증		
1732	학원		
1733	한국		
1734	한국어		
1735	한글		
1736	한글날		
1737	한복		
1738	한식		
1739	할머니		
1740	할아버지		
1741	할인		
1742	함께		
1743	합격		
1744	합격하다		
1745	항상		
1746	해		
1747	해결하다		
1748	해수욕장		
1749	해외		
1750	해외여행		
1751	핸드백		
1752	핸드폰		
1753	햄버거		
1754	행동		
1755	행동하다		
1756	행복		
1757	행복하다		
1758	허리		
1759	헤어지다		
1760	현관		
1761	현금		
1762	현재		
1763	형		
1764	형부		
1765	형제		
1766	호		
1767	호랑이		
1768	호수		
1769	호주		
1770	호텔		
1771	혼자		
1772	홈페이지		
1773	화		
1774	화가		
1775	화내다		
1776	화분		
1777	화요일		
1778	화장		
1779	화장실		
1780	화장품		
1781	화장하다		
1782	확인		
1783	확인하다		
1784	환경		
1785	환영하다		
1786	환자		
1787	환전하다		
1788	활발하다		
1789	회		
1790	회사		
1791	회사원		
1792	회색		
1793	회원		
1794	회의		
1795	횡단보도		
1796	후		
1797	후배		
1798	후회		
1799	후회하다		
1800	휴가		
1801	휴게실		
1802	휴대전화		
1803	휴일		
1804	휴지		
1805	휴지통		
1806	흐르다		
1807	흐리다		
1808	흔들다		
1809	흰색		
1810	힘		
1811	힘들다		
1812	회비		
			
			
			
☞ 이들 어휘 외에 지문에 따라 어휘가 추가될 수도 있습니다.			
